what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wb.core.java,1.6.0.r36x201305211947,"org.eclipse.wb.core.java",1383285738471
started,bundle,org.eclipse.wb.core.lib,1.6.0.r36x201305211944,"org.eclipse.wb.core.lib",1383285738492
started,bundle,org.eclipse.wb.core.xml,1.6.0.r36x201305211955,"org.eclipse.wb.core.xml",1383285738492
started,bundle,org.eclipse.wb.rcp.databinding,1.6.0.r36x201305212028,"org.eclipse.wb.rcp.databinding",1383285738504
started,bundle,org.eclipse.wb.swing.databinding,1.6.0.r36x201305212042,"org.eclipse.wb.swing.databinding",1383285738531
os,sysinfo,,,"win32",1383285738535
arch,sysinfo,,,"x86",1383285738535
ws,sysinfo,,,"win32",1383285738535
locale,sysinfo,,,"zh_CN",1383285738535
processors,sysinfo,,,"4",1383285738535
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383285738535
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1383285738535
java.specification.name,sysinfo,,,"Java Platform API Specification",1383285738535
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383285738535
java.specification.version,sysinfo,,,"1.6",1383285738535
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1383285738535
java.version,sysinfo,,,"1.6.0_25",1383285738535
java.vm.info,sysinfo,,,"mixed mode, sharing",1383285738535
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1383285738535
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383285738535
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383285738535
java.vm.specification.version,sysinfo,,,"1.0",1383285738535
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1383285738535
java.vm.version,sysinfo,,,"20.0-b11",1383285738535
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1383285739411
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285743568
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285752791
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285752874
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285755958
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285768475
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285773272
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285775311
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285777447
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285783240
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285783314
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285786431
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285799005
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285802287
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285802529
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285803605
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285804295
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285804362
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285805181
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285807299
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285807372
started,bundle,org.eclipse.wb.os,1.6.0.r36x201305211944,"org.eclipse.wb.os",1383285808014
started,bundle,org.eclipse.wb.os.win32,1.6.0.r36x201305211944,"org.eclipse.wb.os.win32",1383285808029
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285813275
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285820105
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285820201
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285822626
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285833990
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285837116
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285844385
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285850495
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1383285850506
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285851596
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285904525
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383285911816
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383285912864
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383285919199
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286338717
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1383286341686
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286347680
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286362943
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286362959
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286362959
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286366947
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286384414
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286384423
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286384423
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286384940
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286387216
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286401019
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286401888
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286531008
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383286536079
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1383286540273
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1383286540286
opened,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1383286542161
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1383286542170
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.JavadocView",1383286543137
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383286543787
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.SourceView",1383286561346
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1383286561954
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProgressView",1383286562632
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProgressView",1383286562647
opened,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1383286563891
activated,view,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.views.ProblemView",1383286563939
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286564534
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286566183
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286566258
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286569909
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286569949
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286570915
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286570956
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286571924
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286572527
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286572576
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1383286579375
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.ClassFileEditor",1383286579386
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1383286583473
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286597038
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286599393
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286599404
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.export",1383286599404
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286600593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286602190
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383286603086
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383287948903
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383287949341
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1383290443430
